baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000002384.2	247.538482766426	4.430931890163	0.232084506022265	19.0918901313383	2.94903567367616e-81	4.78219430050647e-79
ENSMUSG00000040152.8	93738.4501593415	-1.87263303089648	0.098112919111597	-19.0865081566525	3.26903954553106e-81	5.25870777452308e-79
ENSMUSG00000006310.10	295.568907793069	5.63959928594196	0.295797375279866	19.0657516166467	4.86240352481222e-81	7.75977857753366e-79
ENSMUSG00000030168.13	2442.96216127295	2.07839018715985	0.10918990008132	19.0346376872949	8.80996669923428e-81	1.39488827077325e-78
ENSMUSG00000027377.2	378.071958092924	7.05249406126019	0.370796671527401	19.0198418777851	1.16835334115604e-80	1.83541007687232e-78
ENSMUSG00000052180.15	292.049233061123	4.69979020975594	0.247516695418854	18.9877705089866	2.152762376371e-80	3.35563921426885e-78
ENSMUSG00000033491.13	657.727290703663	2.68501799708471	0.14169029563508	18.9499075081324	4.42360126979051e-80	6.84229033330366e-78
ENSMUSG00000025085.16	1460.71966395587	2.09035230843131	0.11035485912137	18.9420957543185	5.13133409326318e-80	7.87640198071268e-78
ENSMUSG00000034382.14	236.02053426929	4.14738569592128	0.219766728023322	18.8717634067025	1.94692019039894e-79	2.96580842337439e-77
ENSMUSG00000042367.12	551.455044898349	3.1587200127474	0.167625023773833	18.8439645921201	3.29346745152665e-79	4.97932658009758e-77
ENSMUSG00000003283.15	351.128454779043	3.50774363445579	0.18707577862235	18.7503890684688	1.92179935223547e-78	2.88384637125006e-76
ENSMUSG00000098678.1	270.808234506781	5.94898757471695	0.318790691588086	18.6611081555785	1.025816777819e-77	1.5279350939544e-75
ENSMUSG00000035852.11	755.126207020604	8.82528164838631	0.472995724946883	18.6582693731056	1.08178366662491e-77	1.59944896827159e-75
ENSMUSG00000036473.16	1493.57800088022	1.85070755563255	0.0993596493687343	18.6263495029494	1.9647673308649e-77	2.88376215248404e-75
ENSMUSG00000027544.16	366.337743557615	7.09611052454078	0.38271517412494	18.541492483975	9.55333263268055e-77	1.39201748244884e-74
ENSMUSG00000031298.15	1967.58084729924	-1.95199041584588	0.105458375019061	-18.5095817709411	1.72837333528579e-76	2.50029719610983e-74
ENSMUSG00000026450.14	354.236951367538	7.0475893311682	0.381745126941896	18.4615043749881	4.21438333906589e-76	6.05305858442406e-74
ENSMUSG00000028111.4	1432.84699812037	-1.72444219458309	0.0936122338180363	-18.4211200208625	8.8943918974074e-76	1.26842859768133e-73
ENSMUSG00000023092.16	1690.80039860937	-1.72119330215517	0.0935477496972099	-18.3990882487952	1.33593689726121e-75	1.89176191057242e-73
ENSMUSG00000047501.3	1465.31096289458	10.2982577469696	0.560688925311649	18.367150271865	2.40723720282964e-75	3.38494585136353e-73
ENSMUSG00000087166.9	1521.61177375008	10.3510903438114	0.563648981619142	18.3644265870521	2.53108928005235e-75	3.53438494745088e-73
ENSMUSG00000020782.18	792.438892195791	3.31651649312289	0.180782573290972	18.3453329198103	3.59716446471791e-75	4.98839883148605e-73
ENSMUSG00000006342.15	314.47971574325	3.44880018133067	0.188738041270369	18.2729467685332	1.35909532268554e-74	1.87182799647677e-72
ENSMUSG00000033361.13	581.555652428496	2.4138273958482	0.132170767209915	18.2629445739278	1.63245189708939e-74	2.23301651337915e-72
ENSMUSG00000039621.13	359.961273002896	3.67951760197055	0.202489583854026	18.1713919893435	8.69638782140724e-74	1.18153355616795e-71
ENSMUSG00000014846.12	534.473930040926	3.64938264904989	0.200959662778532	18.1597769352932	1.07460427758537e-73	1.45021092709307e-71
ENSMUSG00000031803.8	247.898161208015	5.60870150150502	0.309856116693896	18.1009868752916	3.13009048659873e-73	4.19599063363516e-71
ENSMUSG00000000120.6	240.804270663272	5.29587533564657	0.292827373475732	18.0853151561169	4.15982768350992e-73	5.53945795099454e-71
ENSMUSG00000051375.15	328.552993329927	2.84335503641252	0.157817191940867	18.0167635822459	1.43920433203564e-72	1.90391583609031e-70
ENSMUSG00000028581.17	347.494939385054	7.11305197626953	0.395173049461579	17.9998407937004	1.9537978956777e-72	2.5677756919142e-70
ENSMUSG00000024529.14	35328.5957264119	-1.57648983878226	0.0879242160381201	-17.9300983257987	6.86581588038975e-72	8.9647938781089e-70
ENSMUSG00000027220.2	951.109762239454	-2.22325374391815	0.124069450709621	-17.9194292487163	8.31771128252851e-72	1.07904863528441e-69
ENSMUSG00000051076.8	213.858201204677	4.72068277221953	0.263628583946629	17.9065665094011	1.04804436680461e-71	1.35090231587866e-69
ENSMUSG00000020173.17	704.987489216229	2.18483366819363	0.122027587020075	17.9044240859585	1.08915916393206e-71	1.3949562081749e-69
